description,prediction,template,correct template,correct command
"display all file in current folder exclud those that are present in sub directori aa and display those file that start with word ""file""","find . -name __SP__UNK -prune -or ","find Path -name Regex -prune -or",wrong flag,
"","find . ! -name ""file"" -prune","find Path ! -name Regex -prune",logic error,
"","find . -name __SP__UNK -prune -or -name file ","find Path -name Regex -prune -or -name Regex",wrong flag,
"","find . ! -name 'file' -prune -or ","find Path ! -name Regex -prune -or",wrong flag,
"","find . -name aa -prune -or ","find Path -name Regex -prune -or",wrong flag,
"","find . -wholename './src/emacs' -prune -or ","find Path -wholename Regex -prune -or",missing flag,
"","find . -name ""file"" -prune -or ","find Path -name Regex -prune -or",wrong flag,
"","find . -name 'file*' ! -name 'file*' ! -name 'file*'","find Path -name Regex ! -name Regex ! -name Regex",logic error,
"split ""/usr/bin/gcc"" into 100000 file of about equal size","split -n 10000 __SP__UNK","split -n Quantity File",y,
"","split -n 100000 ""/usr/bin/gcc""","split -n Quantity File",y,y
"","split -n 100000 ""/usr/bin/gcc""","split -n Quantity File",y,y
"","split -n 10000 /usr/bin/gcc","split -n Quantity File",y,
"","split -n 100000 /usr/bin/gcc","split -n Quantity File",y,y
"","split -n 10000 __SP__UNK","split -n Quantity File",y,
"","split -n 100000 ""/usr/bin/gcc""","split -n Quantity File",y,y
"","split -n 10000 /usr/bin/gcc","split -n Quantity File",y,y
"chang group of all file in file system which belong to group with gid 999","find / -group __SP__UNK -exec chown __SP__UNK {} \;","find Path -group Regex -exec chown Regex {} \;",wrong utility,
"","find . -group 999 -exec chmod gid {} \;","find Path -group Regex -exec chmod Permission {} \;",wrong utility,
"","find / -group 2000 -exec chgrp gid {} \;","find Path -group Regex -exec chgrp Regex {} \;",y,
"","find / -group __SP__UNK -exec chown __SP__UNK {} \;","find Path -group Regex -exec chown Regex {} \;",wrong utility,
"","find / -group 999 -exec chgrp -h 999 {} \;","find Path -group Regex -exec chgrp -h Regex {} \;",extra flag,
"","find / -group __SP__UNK -exec chown __SP__UNK {} \;","find Path -group Regex -exec chown Regex {} \;",wrong utility,
"","find . -group 999 -exec chmod gid {} \;","find Path -group Regex -exec chmod Permission {} \;",wrong utility,
"","find / -group __SP__UNK -exec chown __SP__UNK {} \;","find Path -group Regex -exec chown Regex {} \;",wrong utility,
"go to first directori specifi in path which contain command 'oracle'","cd $(dirname __SP__UNK)","cd $( dirname Regex )",missing utiltiy,
"","cd $(ls -d [file] | grep ""oracle"")","cd $( ls -d File | grep Regex )",extra utility,
"","cd $(ls -d */ | grep 'oracle')","cd $( ls -d File | grep Regex )",wrong utility,
"","cd $(which oracle | xargs -I {} dirname {})","cd $( which Regex | xargs -I {} dirname {} )",y,y
"","cd $(which oracle | xargs -I {} dirname {})","cd $( which Regex | xargs -I {} dirname {} )",y,y
"","cd $(ls -d */ | grep __SP__UNK)","cd $( ls -d File | grep Regex )",wrong utility,
"","cd $(which ""oracle"" | xargs -I {} dirname {})","cd $( which Regex | xargs -I {} dirname {} )",y,y
"","cd $(which oracle | xargs -I {} dirname {})","cd $( which Regex | xargs -I {} dirname {} )",y,y
"find .java file in current directori tree that contain 'TODO' and print name","find . -name ""*.java"" -exec grep -i -l __SP__UNK {} \;","find Path -name Regex -exec grep -i -l Regex {} \;",y,
"","find . -name ""*.java"" -exec grep -l -i ""TODO"" {} \;","find Path -name Regex -exec grep -l -i Regex {} \;",y,y
"","find . -name ""*.java"" -exec grep -i -l __SP__UNK {} \;","find Path -name Regex -exec grep -i -l Regex {} \;",y,
"","find . -name '*.java' -exec grep -l __SP__UNK {} \;","find Path -name Regex -exec grep -l Regex {} \;",y,
"","find . -name ""*.java"" -exec grep -l TODO {} +","find Path -name Regex -exec grep -l Regex {} +",y,y
"","find . -name '*.[ch]' | xargs -I {} grep -l thing {}","find Path -name Regex | xargs -I {} grep -l Regex {}",y,
"","find . -name ""*.java"" | xargs -I {} grep -l ""TODO"" {}","find Path -name Regex | xargs -I {} grep -l Regex {}",y,y
"","find . -name '*.java' | xargs -I {} grep -L '__SP__UNK' {}","find Path -name Regex | xargs -I {} grep -L Regex {}",y,
"search for word ""foo"" in all regular file in directori ""/path/to/dir""","find __SP__UNK -type f -exec grep -H foo {} +","find Path -type f -exec grep -H Regex {} +",y,
"","find ""/path/to/dir"" -type f | xargs -I {} grep ""foo"" {}","find Path -type f | xargs -I {} grep Regex {}",y,y
"","find ""/path/to/dir"" -type f -exec grep ""foo"" {} \;","find Path -type f -exec grep Regex {} \;",y,y
"","find /path/to/dir -type f -exec grep foo {} +","find Path -type f -exec grep Regex {} +",y,y
"","find /path/to/dir -type f -exec grep ""foo"" {} \; ","find Path -type f -exec grep Regex {} \;",y,y
"","find ~/mail -type f | xargs -I {} grep ""Linux"" {}","find Path -type f | xargs -I {} grep Regex {}",y,
"","find ""/path/to/dir"" -type f | xargs -I {} grep ""foo"" {}","find Path -type f | xargs -I {} grep Regex {}",y,y
"","find /path/to/dir -type f | xargs -0 -I {} grep foo {}","find Path -type f | xargs -0 -I {} grep Regex {}",y,y
"find all file that are readabl and writabl by owner","find . -perm __SP__UNK ","find Path -perm Permission",y,
"","find . -perm [permission]","find Path -perm Permission",y,
"","find . -perm __SP__UNK","find Path -perm Permission",y,
"","find . -perm /u+w,g+w","find Path -perm Permission",y,
"","find . -perm +600 ","find Path -perm +Permission",y,y
"","find . -perm __SP__UNK ","find Path -perm Permission",y,
"","find . -perm [permission]","find Path -perm Permission",y,
"","find . -perm +600 ","find Path -perm +Permission",y,y
"display all file in a folder exclud those that are present in a specif path","find A ! -path __SP__UNK -and ! -path __SP__UNK","find Path ! -path Regex -and ! -path Regex",counting error,
"","find . ! -path Regex -and ! -path Regex","find Path ! -path Regex -and ! -path Regex",counting error,
"","find A ! -path __SP__UNK -and ! -path __SP__UNK","find Path ! -path Regex -and ! -path Regex",counting error,
"","find /target/ -path '*/\.*' -prune -or ","find Path -path Regex -prune -or",y,y
"","find . -path './src/emacs' -prune -or ","find Path -path Regex -prune -or",y,y
"","find A ! -path __SP__UNK -and ! -path __SP__UNK","find Path ! -path Regex -and ! -path Regex",counting error,
"","find . ! -path [regex] -and ! -path [regex]","find Path ! -path Regex -and ! -path Regex",counting error,
"","find A ! -path ""A/a/*"" -and ! -path ""A/a""","find Path ! -path Regex -and ! -path Regex",counting error,
"display 5 largest file in current directori and it sub-directori","find . -type f -printf '%s %p\n' | sort -r -n | head -n 5","find Path -type f -printf '%s %p\n' | sort -r -n | head -n Quantity",y,y
"","find . -type f -printf __SP__UNK | sort -n | tail - 5 | cut -f [number] -d Regex","find Path -type f -printf __SP__UNK | sort -n | tail - Quantity | cut -f Number -d Regex",y,
"","find . -type f -printf ""%s %p\n"" | sort -r -n | head -n 5","find Path -type f -printf ""%s %p\n"" | sort -r -n | head -n Quantity",y,y
"","find . -type f -printf ""%s %p\n"" | sort -n | head -n 5","find Path -type f -printf ""%s %p\n"" | sort -n | head -n Quantity",missing flag,
"","find . -exec du -S -h {} + | sort -r -h | head -n 5","find Path -exec du -S -h {} + | sort -r -h | head -n Quantity",y,y
"","find . -type f -printf __SP__UNK","find Path -type f -printf __SP__UNK",missing utiltiy,
"","find . -type f -printf __SP__UNK | sort -n | head -n 5","find Path -type f -printf __SP__UNK | sort -n | head -n Quantity",missing flag,
